Algoritmo,Conjunto,Tamanho,Tempo,Contagem
Bubble Sort,Aleatórios,100,4.8001607259114586e-05,4950
Insertion Sort,Aleatórios,100,2.6146570841471355e-05,2320
Selection Sort,Aleatórios,100,3.814697265625e-05,4950
Bubble Sort,Decrescentes,100,4.9273173014322914e-05,4950
Insertion Sort,Decrescentes,100,1.9868214925130207e-05,4950
Selection Sort,Decrescentes,100,2.487500508626302e-05,4950
Bubble Sort,Ordenados,100,1.8596649169921875e-05,4950
Insertion Sort,Ordenados,100,3.576278686523437e-06,0
Selection Sort,Ordenados,100,1.6689300537109375e-05,4950
Bubble Sort,ParcialmenteOrdenados,100,2.4954477945963543e-05,4950
Insertion Sort,ParcialmenteOrdenados,100,9.37779744466146e-06,1412
Selection Sort,ParcialmenteOrdenados,100,1.7484029134114582e-05,4950
Bubble Sort,Aleatórios,200,0.0002055962880452,19900
Insertion Sort,Aleatórios,200,4.474322001139323e-05,10501
Selection Sort,Aleatórios,200,6.802876790364583e-05,19900
Bubble Sort,Decrescentes,200,0.0001188913981119,19900
Insertion Sort,Decrescentes,200,6.739298502604167e-05,19897
Selection Sort,Decrescentes,200,6.580352783203125e-05,19900
Bubble Sort,Ordenados,200,6.556510925292969e-05,19900
Insertion Sort,Ordenados,200,4.2120615641276044e-06,0
Selection Sort,Ordenados,200,6.779034932454427e-05,19900
Bubble Sort,ParcialmenteOrdenados,200,8.408228556315105e-05,19900
Insertion Sort,ParcialmenteOrdenados,200,1.4702479044596354e-05,2997
Selection Sort,ParcialmenteOrdenados,200,6.620089213053386e-05,19900
Bubble Sort,Aleatórios,500,0.0007441043853759,124750
Insertion Sort,Aleatórios,500,0.0002100467681884,63916
Selection Sort,Aleatórios,500,0.0003695487976074,124750
Bubble Sort,Decrescentes,500,0.0006841818491617,124750
Insertion Sort,Decrescentes,500,0.000431219736735,124729
Selection Sort,Decrescentes,500,0.0003574689229329,124750
Bubble Sort,Ordenados,500,0.0003909269968668,124750
Insertion Sort,Ordenados,500,8.742014567057291e-06,0
Selection Sort,Ordenados,500,0.0003454685211181,124750
Bubble Sort,ParcialmenteOrdenados,500,0.000564416249593,124750
Insertion Sort,ParcialmenteOrdenados,500,5.0067901611328125e-05,6390
Selection Sort,ParcialmenteOrdenados,500,0.0004518032073974,124750
Bubble Sort,Aleatórios,1000,0.0025633970896402,499500
Insertion Sort,Aleatórios,1000,0.0008502801259358,242285
Selection Sort,Aleatórios,1000,0.001423438390096,499500
Bubble Sort,Decrescentes,1000,0.0042436122894287,499500
Insertion Sort,Decrescentes,1000,0.002518097559611,499398
Selection Sort,Decrescentes,1000,0.0013681252797444,499500
Bubble Sort,Ordenados,1000,0.001558780670166,499500
Insertion Sort,Ordenados,1000,8.265177408854166e-06,0
Selection Sort,Ordenados,1000,0.0012915929158528,499500
Bubble Sort,ParcialmenteOrdenados,1000,0.001506487528483,499500
Insertion Sort,ParcialmenteOrdenados,1000,8.09033711751302e-05,14432
Selection Sort,ParcialmenteOrdenados,1000,0.001241127649943,499500
Bubble Sort,Aleatórios,2000,0.0115878582000732,1999000
Insertion Sort,Aleatórios,2000,0.0033772786458333,1020378
Selection Sort,Aleatórios,2000,0.0052508513132731,1999000
Bubble Sort,Decrescentes,2000,0.0111683209737141,1999000
Insertion Sort,Decrescentes,2000,0.0062936147054036,1998603
Selection Sort,Decrescentes,2000,0.0055473645528157,1999000
Bubble Sort,Ordenados,2000,0.0062361558278401,1999000
Insertion Sort,Ordenados,2000,1.1761983235677084e-05,0
Selection Sort,Ordenados,2000,0.0052846272786458,1999000
Bubble Sort,ParcialmenteOrdenados,2000,0.0063226222991943,1999000
Insertion Sort,ParcialmenteOrdenados,2000,0.000100294748942,29278
Selection Sort,ParcialmenteOrdenados,2000,0.0052661101023356,1999000
Bubble Sort,Aleatórios,5000,0.069036324818929,12497500
Insertion Sort,Aleatórios,5000,0.0202188491821289,6229620
Selection Sort,Aleatórios,5000,0.032664934794108,12497500
Bubble Sort,Decrescentes,5000,0.0652383963267008,12497500
Insertion Sort,Decrescentes,5000,0.0381686687469482,12495004
Selection Sort,Decrescentes,5000,0.0391711393992106,12497500
Bubble Sort,Ordenados,5000,0.0365840593973795,12497500
Insertion Sort,Ordenados,5000,2.431869506835937e-05,0
Selection Sort,Ordenados,5000,0.0305422147115071,12497500
Bubble Sort,ParcialmenteOrdenados,5000,0.0371935367584228,12497500
Insertion Sort,ParcialmenteOrdenados,5000,0.0002651214599609,78757
Selection Sort,ParcialmenteOrdenados,5000,0.0305307706197102,12497500
Bubble Sort,Aleatórios,7500,0.1558175881703694,28121250
Insertion Sort,Aleatórios,7500,0.041872501373291,14135727
Selection Sort,Aleatórios,7500,0.0686160723368326,28121250
Bubble Sort,Decrescentes,7500,0.1461463769276937,28121250
Insertion Sort,Decrescentes,7500,0.1231629848480224,28115568
Selection Sort,Decrescentes,7500,0.1075530052185058,28121250
Bubble Sort,Ordenados,7500,0.0838519732157389,28121250
Insertion Sort,Ordenados,7500,3.441174825032552e-05,0
Selection Sort,Ordenados,7500,0.0726916790008544,28121250
Bubble Sort,ParcialmenteOrdenados,7500,0.0845835208892822,28121250
Insertion Sort,ParcialmenteOrdenados,7500,0.0004153251647949,127915
Selection Sort,ParcialmenteOrdenados,7500,0.0688045819600423,28121250
Bubble Sort,Aleatórios,10000,0.293297529220581,49995000
Insertion Sort,Aleatórios,10000,0.0740839640299479,25127766
Selection Sort,Aleatórios,10000,0.1224501927693684,49995000
Bubble Sort,Decrescentes,10000,0.2560750643412272,49995000
Insertion Sort,Decrescentes,10000,0.1518712838490804,49984816
Selection Sort,Decrescentes,10000,0.1826486587524414,49995000
Bubble Sort,Ordenados,10000,0.1449403762817382,49995000
Insertion Sort,Ordenados,10000,4.61737314860026e-05,0
Selection Sort,Ordenados,10000,0.1274051666259765,49995000
Bubble Sort,ParcialmenteOrdenados,10000,0.154315710067749,49995000
Insertion Sort,ParcialmenteOrdenados,10000,0.000683307647705,189215
Selection Sort,ParcialmenteOrdenados,10000,0.1324577331542968,49995000
Bubble Sort,Aleatórios,15000,0.7085776329040527,112492500
Insertion Sort,Aleatórios,15000,0.1838830312093099,56655180
Selection Sort,Aleatórios,15000,0.2838750680287679,112492500
Bubble Sort,Decrescentes,15000,0.6116952101389567,112492500
Insertion Sort,Decrescentes,15000,0.3511148293813069,112470052
Selection Sort,Decrescentes,15000,0.4048906962076823,112492500
Bubble Sort,Ordenados,15000,0.3341992696126302,112492500
Insertion Sort,Ordenados,15000,8.153915405273438e-05,0
Selection Sort,Ordenados,15000,0.2888689835866292,112492500
Bubble Sort,ParcialmenteOrdenados,15000,0.3740203380584717,112492500
Insertion Sort,ParcialmenteOrdenados,15000,0.0007688204447428,220272
Selection Sort,ParcialmenteOrdenados,15000,0.2765176296234131,112492500
Bubble Sort,Aleatórios,30000,2.7706642945607505,449985000
Insertion Sort,Aleatórios,30000,0.6837706565856934,223898990
Selection Sort,Aleatórios,30000,1.105138063430786,449985000
Bubble Sort,Decrescentes,30000,2.299224535624186,449985000
Insertion Sort,Decrescentes,30000,1.3390194574991865,449894311
Selection Sort,Decrescentes,30000,1.425344467163086,449985000
Bubble Sort,Ordenados,30000,1.3214817841847737,449985000
Insertion Sort,Ordenados,30000,0.0001318454742431,0
Selection Sort,Ordenados,30000,1.090903679529826,449985000
Bubble Sort,ParcialmenteOrdenados,30000,1.3222046693166096,449985000
Insertion Sort,ParcialmenteOrdenados,30000,0.0016019344329833,476173
Selection Sort,ParcialmenteOrdenados,30000,1.0942585468292236,449985000
Bubble Sort,Aleatórios,50000,7.862345616022746,1249975000
Insertion Sort,Aleatórios,50000,1.8839925130208333,626213038
Selection Sort,Aleatórios,50000,3.065903663635254,1249975000
Bubble Sort,Decrescentes,50000,6.458010037740071,1249975000
Insertion Sort,Decrescentes,50000,3.781659444173177,1249723614
Selection Sort,Decrescentes,50000,3.686681032180786,1249975000
Bubble Sort,Ordenados,50000,3.6866729259490967,1249975000
Insertion Sort,Ordenados,50000,0.0002151330312093,0
Selection Sort,Ordenados,50000,3.0984116395314536,1249975000
Bubble Sort,ParcialmenteOrdenados,50000,3.711932341257731,1249975000
Insertion Sort,ParcialmenteOrdenados,50000,0.0017791589101155,500505
Selection Sort,ParcialmenteOrdenados,50000,3.0315436522165933,1249975000
Bubble Sort,Aleatórios,75000,17.84656548500061,-1482504796
Insertion Sort,Aleatórios,75000,4.248475392659505,1405529316
Selection Sort,Aleatórios,75000,6.939143737157186,-1482504796
Bubble Sort,Decrescentes,75000,14.55299441019694,-1482504796
Insertion Sort,Decrescentes,75000,8.54370347658793,-1483070471
Selection Sort,Decrescentes,75000,7.934579213460286,-1482504796
Bubble Sort,Ordenados,75000,8.337388277053833,-1482504796
Insertion Sort,Ordenados,75000,0.0003236134847005,0
Selection Sort,Ordenados,75000,6.929765780766805,-1482504796
Bubble Sort,ParcialmenteOrdenados,75000,8.293402671813965,-1482504796
Insertion Sort,ParcialmenteOrdenados,75000,0.0019222895304361,535207
Selection Sort,ParcialmenteOrdenados,75000,6.845006863276164,-1482504796
Bubble Sort,Aleatórios,100000,31.9498389561971,704982704
Insertion Sort,Aleatórios,100000,7.4895438353220625,-1807344194
Selection Sort,Aleatórios,100000,12.133256514867147,704982704
Bubble Sort,Decrescentes,100000,25.526360352834065,704982704
Insertion Sort,Decrescentes,100000,14.820844411849976,703976140
