Algoritmo,Conjunto,Tamanho,Iteração,Tempo,Contagem
Bucket Sort,Aleatórios,100,0,9.012222290039062e-05,4950
Bucket Sort,Aleatórios,100,1,3.743171691894531e-05,4950
Bucket Sort,Aleatórios,100,2,6.842613220214844e-05,4950
Insertion Sort,Aleatórios,100,0,4.649162292480469e-05,2320
Insertion Sort,Aleatórios,100,1,3.027915954589844e-05,2320
Insertion Sort,Aleatórios,100,2,2.765655517578125e-05,2320
Selection Sort,Aleatórios,100,0,8.106231689453125e-05,4950
Selection Sort,Aleatórios,100,1,5.0067901611328125e-05,4950
Selection Sort,Aleatórios,100,2,5.197525024414063e-05,4950
Bucket Sort,Decrescentes,100,0,3.719329833984375e-05,4950
Bucket Sort,Decrescentes,100,1,5.555152893066406e-05,4950
Bucket Sort,Decrescentes,100,2,6.127357482910156e-05,4950
Insertion Sort,Decrescentes,100,0,7.891654968261719e-05,4950
Insertion Sort,Decrescentes,100,1,2.7418136596679688e-05,4950
Insertion Sort,Decrescentes,100,2,2.7179718017578125e-05,4950
Selection Sort,Decrescentes,100,0,2.5510787963867188e-05,4950
Selection Sort,Decrescentes,100,1,2.574920654296875e-05,4950
Selection Sort,Decrescentes,100,2,6.437301635742188e-05,4950
Bucket Sort,Ordenados,100,0,4.863739013671875e-05,4950
Bucket Sort,Ordenados,100,1,6.175041198730469e-05,4950
Bucket Sort,Ordenados,100,2,2.5033950805664062e-05,4950
Insertion Sort,Ordenados,100,0,2.2411346435546875e-05,0
Insertion Sort,Ordenados,100,1,9.775161743164062e-06,0
Insertion Sort,Ordenados,100,2,1.1920928955078123e-05,0
Selection Sort,Ordenados,100,0,3.552436828613281e-05,4950
Selection Sort,Ordenados,100,1,2.7179718017578125e-05,4950
Selection Sort,Ordenados,100,2,2.5272369384765625e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,0,4.982948303222656e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,1,4.57763671875e-05,4950
Bucket Sort,ParcialmenteOrdenados,100,2,8.177757263183594e-05,4950
Insertion Sort,ParcialmenteOrdenados,100,0,1.8358230590820312e-05,1412
Insertion Sort,ParcialmenteOrdenados,100,1,4.529953002929688e-05,1412
Insertion Sort,ParcialmenteOrdenados,100,2,2.1457672119140625e-05,1412
Selection Sort,ParcialmenteOrdenados,100,0,5.1021575927734375e-05,4950
Selection Sort,ParcialmenteOrdenados,100,1,5.0067901611328125e-05,4950
Selection Sort,ParcialmenteOrdenados,100,2,7.653236389160156e-05,4950
Bucket Sort,Aleatórios,200,0,0.0001628398895263,19900
